NAME,score
Baoshan Road Street,7.86E-05
Pengpu Xincun Street,8.07E-05
Pengpu Town,9.11E-05
Zhijiang West Road Street,8.46E-05
Huaxin Town,0.00013209
Xiayang Street,0.000439525
Jing Town,0.000256946
Zhujiajiao Town,0.000288135
Baihe Town,6.77E-05
Yingpu Street,0.000196801
Liantang Town,7.58E-05
Zhaoxiang Town,0.000378759
Chonggu Town,0.000166437
Jinze Town,0.000226696
Xianghuaqiao Street,9.49E-05
Nanjing West Road Street,8.52E-05
Caojiadu Street,6.76E-05
Jiangning Road Street,5.61E-05
Shimen Second Street,8.82E-05
Jingan Temple Street,0.000103264
Bansong Garden,6.67E-05
Nanjing East Road,0.000106396
The Bund,8.19E-05
Little East Gate,6.77E-05
Old Simon,8.18E-05
Yu Garden,8.90E-05
Nanqiao Town,6.51E-07
Xidu Street,5.60E-06
Pujiang Town,1.38E-05
Pujin Street,1.45E-05
Jiuting Town,0.000192527
Jiuliting Street,0.000195682
Fangsong Street,0.000276843
Guangfulin Street,0.00038299
Chuansha New Town,1.75E-05
Zhuqiao Town,2.78E-07
Laogang Town,5.28E-05
Nicheng,7.03E-05
Changzheng Town,6.61E-05
Wanli Street,6.52E-05
Sichuan North Road Street,7.57E-05
